stamp_sec,cross_track_error,heading_error,steering_command,steering_oscillation,commanded_speed,curvature,control_latency_ms,lookahead_distance,target_x,target_y,path_pose_count
1782712950.6949599,0.8008712859999998,3.141592653589793,4.592425496802574e-16,0.0,0.0,3.0616169978683826e-16,0.22383499981515342,0.8,0.0,0.0,5
1782712950.7949035,0.8008712859999998,3.141592653589793,4.592425496802574e-16,0.0,0.0,3.0616169978683826e-16,0.11068500043620588,0.8,0.0,0.0,5
1782712950.894608,0.8008712859999998,3.141592653589793,4.592425496802574e-16,0.0,0.0,3.0616169978683826e-16,0.07455700051650638,0.8,0.0,0.0,5
1782712950.9943006,0.8008712859999998,3.141592653589793,4.592425496802574e-16,0.0,0.0,3.0616169978683826e-16,0.06942599975445773,0.8,0.0,0.0,5
1782712951.0944521,0.8008712859999998,3.141592653589793,4.592425496802574e-16,0.0,0.0,3.0616169978683826e-16,0.0682500003676978,0.8,0.0,0.0,5
1782712951.1952405,0.8008712859999998,3.141592653589793,4.592425496802574e-16,0.0,0.0,3.0616169978683826e-16,0.1147660004789941,0.8,0.0,0.0,5
1782712951.2952323,0.8008712859999998,3.141592653589793,4.592425496802574e-16,0.0,0.0,3.0616169978683826e-16,0.12046000028931303,0.8,0.0,0.0,5
1782712951.3942168,0.8008712859999998,3.141592653589793,4.592425496802574e-16,0.0,0.0,3.0616169978683826e-16,0.07491099950129865,0.8,0.0,0.0,5
1782712951.4947429,0.8008712859999998,3.141592653589793,4.592425496802574e-16,0.0,0.0,3.0616169978683826e-16,0.09310000041296007,0.8,0.0,0.0,5
1782712951.5953658,0.8008712859999998,3.141592653589793,4.592425496802574e-16,0.0,0.0,3.0616169978683826e-16,0.11040199933631811,0.8,0.0,0.0,5
1782712951.6944618,0.8008712859999998,3.141592653589793,4.592425496802574e-16,0.0,0.0,3.0616169978683826e-16,0.12014900039503118,0.8,0.0,0.0,5
1782712951.7943897,0.8008712859999998,3.141592653589793,4.592425496802574e-16,0.0,0.0,3.0616169978683826e-16,0.06201100040925667,0.8,0.0,0.0,5
1782712951.8946342,0.8008712859999998,3.141592653589793,4.592425496802574e-16,0.0,0.0,3.0616169978683826e-16,0.08975299988378538,0.8,0.0,0.0,5
1782712951.994831,0.8008712859999998,3.141592653589793,4.592425496802574e-16,0.0,0.0,3.0616169978683826e-16,0.0777790000938694,0.8,0.0,0.0,5
1782712952.095236,0.8008712859999998,3.141592653589793,4.592425496802574e-16,0.0,0.0,3.0616169978683826e-16,0.1139960004366003,0.8,0.0,0.0,5
1782712952.1944616,0.8008712859999998,3.141592653589793,4.592425496802574e-16,0.0,0.0,3.0616169978683826e-16,0.07916800041130045,0.8,0.0,0.0,5
